# U_ac_out	U_osc_ref	Pha_ref	U_osc_dut	R_ref	V_DS	V_GS	V_DUT	I_D	FRQ
0.0002379	0.00221875	279.2	1	100000	0.5	-2.87	0	0.000109277662	1000
0.0002464	0.00234375	279.2	1	100000	0.5	-2.87	0	0.000109279093	1000
0.0002464	0.00246875	279.2	1	100000	0.5	-2.87	0	0.000109280625	1000
0.0002439	0.00259375	279.2	1	100000	0.5	-2.87	0	0.000109278054	1000
0.0002384	0.00271875	279.2	1	100000	0.5	-2.87	0	0.000109278074	1000
0.0002318	0.00284375	279.2	1	100000	0.5	-2.87	0	0.0001092763	1000
0.0002252	0.00296875	279.2	1	100000	0.5	-2.87	0	0.00010928425	1000
0.0002184	0.00309375	279.2	1	100000	0.5	-2.87	0	0.000109277589	1000
0.0002108	0.00321875	279.2	1	100000	0.5	-2.87	0	0.000109276352	1000
0.0002033	0.00334375	279.2	1	100000	0.5	-2.87	0	0.000109272814	1000
0.0001964	0.00346875	279.2	1	100000	0.5	-2.87	0	0.000109276553	1000
0.0001901	0.00359375	279.2	1	100000	0.5	-2.87	0	0.000109274326	1000
0.0001836	0.00371875	279.2	1	100000	0.5	-2.87	0	0.000109276656	1000
0.0001765	0.00384375	279.2	1	100000	0.5	-2.87	0	0.000109274913	1000
0.0001693	0.00396875	279.2	1	100000	0.5	-2.87	0	0.000109276576	1000
0.0001625	0.00409375	279.2	1	100000	0.5	-2.87	0	0.000109279329	1000
0.000156	0.00421875	279.2	1	100000	0.5	-2.87	0	0.000109277126	1000
0.0001506	0.00434375	279.2	1	100000	0.5	-2.87	0	0.000109281805	1000
0.0001451	0.00446875	279.2	1	100000	0.5	-2.87	0	0.000109279065	1000
0.0001386	0.00459375	279.2	1	100000	0.5	-2.87	0	0.000109277874	1000
0.0001319	0.00471875	279.2	1	100000	0.5	-2.87	0	0.000109277648	1000
0.0001246	0.00484375	279.2	1	100000	0.5	-2.87	0	0.000109274676	1000
0.0001174	0.00496875	279.2	1	100000	0.5	-2.87	0	0.000109273413	1000
0.0001107	0.00509375	279.2	1	100000	0.5	-2.87	0	0.000109278837	1000
0.0001043	0.00521875	279.2	1	100000	0.5	-2.87	0	0.00010928114	1000
9.7e-05	0.00534375	279.2	1	100000	0.5	-2.87	0	0.000109279316	1000
8.96e-05	0.00546875	279.2	1	100000	0.5	-2.87	0	0.00010927931	1000
8.27e-05	0.00559375	279.2	1	100000	0.5	-2.87	0	0.000109279049	1000
7.59e-05	0.00571875	279.2	1	100000	0.5	-2.87	0	0.000109281578	1000
6.88e-05	0.00584375	279.2	1	100000	0.5	-2.87	0	0.000109279976	1000
6.12e-05	0.00596875	279.2	1	100000	0.5	-2.87	0	0.000109279721	1000
5.42e-05	0.00609375	279.2	1	100000	0.5	-2.87	0	0.000109278657	1000
4.69e-05	0.00621875	279.2	1	100000	0.5	-2.87	0	0.000109278327	1000
3.96e-05	0.00634375	279.2	1	100000	0.5	-2.87	0	0.000109280105	1000
3.31e-05	0.00646875	279.2	1	100000	0.5	-2.87	0	0.000109276235	1000
2.67e-05	0.00659375	279.2	1	100000	0.5	-2.87	0	0.000109278015	1000
1.99e-05	0.00671875	279.2	1	100000	0.5	-2.87	0	0.000109279253	1000
1.3e-05	0.00684375	279.2	1	100000	0.5	-2.87	0	0.000109278377	1000
6.4e-06	0.00696875	279.2	1	100000	0.5	-2.87	0	0.000109277806	1000
