# U_ac_out	U_osc_ref	Pha_ref	U_osc_dut	R_ref	V_DS	V_GS	V_DUT	I_D	FRQ
0.0001421	0.025421875	313.475	1	100000	0.5	-2.87	0	0.000109310079	4250
0.0001436	0.025546875	313.475	1	100000	0.5	-2.87	0	0.000109308614	4250
0.0001433	0.025671875	313.475	1	100000	0.5	-2.87	0	0.000109311307	4250
0.0001412	0.025796875	313.475	1	100000	0.5	-2.87	0	0.000109311741	4250
0.0001362	0.025921875	313.475	1	100000	0.5	-2.87	0	0.000109308926	4250
0.0001302	0.026046875	313.475	1	100000	0.5	-2.87	0	0.00010930804	4250
0.0001238	0.026171875	313.475	1	100000	0.5	-2.87	0	0.000109308934	4250
0.0001173	0.026296875	313.475	1	100000	0.5	-2.87	0	0.000109307174	4250
0.0001109	0.026421875	313.475	1	100000	0.5	-2.87	0	0.000109307976	4250
0.0001047	0.026546875	313.475	1	100000	0.5	-2.87	0	0.000109306754	4250
9.85e-05	0.026671875	313.475	1	100000	0.5	-2.87	0	0.000109311659	4250
9.21e-05	0.026796875	313.475	1	100000	0.5	-2.87	0	0.00010930875	4250
8.57e-05	0.026921875	313.475	1	100000	0.5	-2.87	0	0.000109307623	4250
7.95e-05	0.027046875	313.475	1	100000	0.5	-2.87	0	0.000109307981	4250
7.3e-05	0.027171875	313.475	1	100000	0.5	-2.87	0	0.000109304626	4250
6.66e-05	0.027296875	313.475	1	100000	0.5	-2.87	0	0.000109306326	4250
6.04e-05	0.027421875	313.475	1	100000	0.5	-2.87	0	0.000109307221	4250
5.43e-05	0.027546875	313.475	1	100000	0.5	-2.87	0	0.000109308185	4250
4.81e-05	0.027671875	313.475	1	100000	0.5	-2.87	0	0.000109307334	4250
4.18e-05	0.027796875	313.475	1	100000	0.5	-2.87	0	0.000109303728	4250
3.6e-05	0.027921875	313.475	1	100000	0.5	-2.87	0	0.000109302893	4250
3.04e-05	0.028046875	313.475	1	100000	0.5	-2.87	0	0.000109304494	4250
2.49e-05	0.028171875	313.475	1	100000	0.5	-2.87	0	0.000109305939	4250
1.94e-05	0.028296875	313.475	1	100000	0.5	-2.87	0	0.000109308367	4250
1.51e-05	0.028421875	313.475	1	100000	0.5	-2.87	0	0.000109310991	4250
1.31e-05	0.028546875	313.475	1	100000	0.5	-2.87	0	0.000109308988	4250
1.47e-05	0.028671875	313.475	1	100000	0.5	-2.87	0	0.000109312027	4250
1.84e-05	0.028796875	313.475	1	100000	0.5	-2.87	0	0.00010931035	4250
2.28e-05	0.028921875	313.475	1	100000	0.5	-2.87	0	0.0001093111	4250
2.81e-05	0.029046875	313.475	1	100000	0.5	-2.87	0	0.000109311544	4250
3.41e-05	0.029171875	313.475	1	100000	0.5	-2.87	0	0.000109311206	4250
4.02e-05	0.029296875	313.475	1	100000	0.5	-2.87	0	0.000109313272	4250
4.64e-05	0.029421875	313.475	1	100000	0.5	-2.87	0	0.000109317025	4250
5.28e-05	0.029546875	313.475	1	100000	0.5	-2.87	0	0.000109320197	4250
5.9e-05	0.029671875	313.475	1	100000	0.5	-2.87	0	0.00010931715	4250
6.53e-05	0.029796875	313.475	1	100000	0.5	-2.87	0	0.000109312371	4250
7.14e-05	0.029921875	313.475	1	100000	0.5	-2.87	0	0.000109315007	4250
7.73e-05	0.030046875	313.475	1	100000	0.5	-2.87	0	0.000109317932	4250
8.38e-05	0.030171875	313.475	1	100000	0.5	-2.87	0	0.000109323837	4250
9.07e-05	0.030296875	313.475	1	100000	0.5	-2.87	0	0.000109319913	4250
9.76e-05	0.030421875	313.475	1	100000	0.5	-2.87	0	0.000109318091	4250
0.0001035	0.030546875	313.475	1	100000	0.5	-2.87	0	0.000109317279	4250
0.0001094	0.030671875	313.475	1	100000	0.5	-2.87	0	0.000109316011	4250
0.0001152	0.030796875	313.475	1	100000	0.5	-2.87	0	0.000109314031	4250
0.0001212	0.030921875	313.475	1	100000	0.5	-2.87	0	0.000109309747	4250
0.0001278	0.031046875	313.475	1	100000	0.5	-2.87	0	0.000109308811	4250
0.0001343	0.031171875	313.475	1	100000	0.5	-2.87	0	0.000109306315	4250
0.0001409	0.031296875	313.475	1	100000	0.5	-2.87	0	0.000109303879	4250
0.0001475	0.031421875	313.475	1	100000	0.5	-2.87	0	0.000109300755	4250
0.0001539	0.031546875	313.475	1	100000	0.5	-2.87	0	0.000109294861	4250
0.0001605	0.031671875	313.475	1	100000	0.5	-2.87	0	0.000109294757	4250
0.0001671	0.031796875	313.475	1	100000	0.5	-2.87	0	0.000109297589	4250
0.0001735	0.031921875	313.475	1	100000	0.5	-2.87	0	0.00010929361	4250
