# U_ac_out	U_osc_ref	Pha_ref	U_osc_dut	R_ref	V_DS	V_GS	V_DUT	I_D	FRQ
8.23e-06	0.0093125	284.1875	1	100000	0.5	-2.87	0	0.000108985869	1375
8.1e-06	0.009325	284.1875	1	100000	0.5	-2.87	0	0.000108977624	1375
8.16e-06	0.0093375	284.1875	1	100000	0.5	-2.87	0	0.000108977978	1375
8.19e-06	0.00935	284.1875	1	100000	0.5	-2.87	0	0.000108975974	1375
8.16e-06	0.0093625	284.1875	1	100000	0.5	-2.87	0	0.00010897849	1375
8.01e-06	0.009375	284.1875	1	100000	0.5	-2.87	0	0.000108977927	1375
7.76e-06	0.0093875	284.1875	1	100000	0.5	-2.87	0	0.000108979917	1375
7.62e-06	0.0094	284.1875	1	100000	0.5	-2.87	0	0.000108977651	1375
8e-06	0.0094125	284.1875	1	100000	0.5	-2.87	0	0.000108976128	1375
9.2e-06	0.009425	284.1875	1	100000	0.5	-2.87	0	0.000108976189	1375
1.112e-05	0.0094375	284.1875	1	100000	0.5	-2.87	0	0.000108977077	1375
1.317e-05	0.00945	284.1875	1	100000	0.5	-2.87	0	0.000108979689	1375
1.449e-05	0.0094625	284.1875	1	100000	0.5	-2.87	0	0.000108976391	1375
1.501e-05	0.009475	284.1875	1	100000	0.5	-2.87	0	0.000108980172	1375
1.508e-05	0.0094875	284.1875	1	100000	0.5	-2.87	0	0.000108977977	1375
1.505e-05	0.0095	284.1875	1	100000	0.5	-2.87	0	0.000108980087	1375
1.501e-05	0.0095125	284.1875	1	100000	0.5	-2.87	0	0.000108978706	1375
1.504e-05	0.009525	284.1875	1	100000	0.5	-2.87	0	0.00010897886	1375
1.541e-05	0.0095375	284.1875	1	100000	0.5	-2.87	0	0.000108980116	1375
1.643e-05	0.00955	284.1875	1	100000	0.5	-2.87	0	0.000108977651	1375
1.803e-05	0.0095625	284.1875	1	100000	0.5	-2.87	0	0.000108978459	1375
1.97e-05	0.009575	284.1875	1	100000	0.5	-2.87	0	0.000108976979	1375
2.091e-05	0.0095875	284.1875	1	100000	0.5	-2.87	0	0.000108974905	1375
2.154e-05	0.0096	284.1875	1	100000	0.5	-2.87	0	0.0001089774	1375
2.172e-05	0.0096125	284.1875	1	100000	0.5	-2.87	0	0.000108976853	1375
2.166e-05	0.009625	284.1875	1	100000	0.5	-2.87	0	0.000108974567	1375
2.145e-05	0.0096375	284.1875	1	100000	0.5	-2.87	0	0.000108975948	1375
2.133e-05	0.00965	284.1875	1	100000	0.5	-2.87	0	0.00010897776	1375
2.167e-05	0.0096625	284.1875	1	100000	0.5	-2.87	0	0.000108979054	1375
2.275e-05	0.009675	284.1875	1	100000	0.5	-2.87	0	0.000108979928	1375
2.458e-05	0.0096875	284.1875	1	100000	0.5	-2.87	0	0.000108978966	1375
2.642e-05	0.0097	284.1875	1	100000	0.5	-2.87	0	0.000108979102	1375
2.772e-05	0.0097125	284.1875	1	100000	0.5	-2.87	0	0.000108978469	1375
2.825e-05	0.009725	284.1875	1	100000	0.5	-2.87	0	0.000108979849	1375
2.835e-05	0.0097375	284.1875	1	100000	0.5	-2.87	0	0.000108979802	1375
2.836e-05	0.00975	284.1875	1	100000	0.5	-2.87	0	0.000108979875	1375
2.835e-05	0.0097625	284.1875	1	100000	0.5	-2.87	0	0.00010898262	1375
2.837e-05	0.009775	284.1875	1	100000	0.5	-2.87	0	0.000108982439	1375
2.88e-05	0.0097875	284.1875	1	100000	0.5	-2.87	0	0.000108982226	1375
3.007e-05	0.0098	284.1875	1	100000	0.5	-2.87	0	0.000108984318	1375
3.206e-05	0.0098125	284.1875	1	100000	0.5	-2.87	0	0.000108981865	1375
3.397e-05	0.009825	284.1875	1	100000	0.5	-2.87	0	0.0001089782	1375
3.516e-05	0.0098375	284.1875	1	100000	0.5	-2.87	0	0.000108980986	1375
3.562e-05	0.00985	284.1875	1	100000	0.5	-2.87	0	0.000108979995	1375
3.56e-05	0.0098625	284.1875	1	100000	0.5	-2.87	0	0.000108977047	1375
3.54e-05	0.009875	284.1875	1	100000	0.5	-2.87	0	0.000108979432	1375
3.519e-05	0.0098875	284.1875	1	100000	0.5	-2.87	0	0.000108979608	1375
3.519e-05	0.0099	284.1875	1	100000	0.5	-2.87	0	0.000108985637	1375
3.567e-05	0.0099125	284.1875	1	100000	0.5	-2.87	0	0.000108983908	1375
3.695e-05	0.009925	284.1875	1	100000	0.5	-2.87	0	0.000108986752	1375
3.876e-05	0.0099375	284.1875	1	100000	0.5	-2.87	0	0.000108983115	1375
4.054e-05	0.00995	284.1875	1	100000	0.5	-2.87	0	0.000108984997	1375
4.171e-05	0.0099625	284.1875	1	100000	0.5	-2.87	0	0.000108980567	1375
4.22e-05	0.009975	284.1875	1	100000	0.5	-2.87	0	0.000108980111	1375
4.234e-05	0.0099875	284.1875	1	100000	0.5	-2.87	0	0.000108979961	1375
4.251e-05	0.01	284.1875	1	100000	0.5	-2.87	0	0.000108980452	1375
4.273e-05	0.0100125	284.1875	1	100000	0.5	-2.87	0	0.000108982547	1375
4.293e-05	0.010025	284.1875	1	100000	0.5	-2.87	0	0.000108981191	1375
4.336e-05	0.0100375	284.1875	1	100000	0.5	-2.87	0	0.000108980661	1375
4.439e-05	0.01005	284.1875	1	100000	0.5	-2.87	0	0.000108977306	1375
4.605e-05	0.0100625	284.1875	1	100000	0.5	-2.87	0	0.000108977465	1375
4.77e-05	0.010075	284.1875	1	100000	0.5	-2.87	0	0.00010898047	1375
4.872e-05	0.0100875	284.1875	1	100000	0.5	-2.87	0	0.000108979469	1375
4.899e-05	0.0101	284.1875	1	100000	0.5	-2.87	0	0.000108981419	1375
4.898e-05	0.0101125	284.1875	1	100000	0.5	-2.87	0	0.000108983559	1375
4.902e-05	0.010125	284.1875	1	100000	0.5	-2.87	0	0.000108981099	1375
4.918e-05	0.0101375	284.1875	1	100000	0.5	-2.87	0	0.000108985881	1375
4.944e-05	0.01015	284.1875	1	100000	0.5	-2.87	0	0.000108988403	1375
4.997e-05	0.0101625	284.1875	1	100000	0.5	-2.87	0	0.000108988796	1375
5.103e-05	0.010175	284.1875	1	100000	0.5	-2.87	0	0.000108989073	1375
5.265e-05	0.0101875	284.1875	1	100000	0.5	-2.87	0	0.000108985198	1375
5.44e-05	0.0102	284.1875	1	100000	0.5	-2.87	0	0.000108984266	1375
5.559e-05	0.0102125	284.1875	1	100000	0.5	-2.87	0	0.000108981118	1375
5.606e-05	0.010225	284.1875	1	100000	0.5	-2.87	0	0.000108981227	1375
5.613e-05	0.0102375	284.1875	1	100000	0.5	-2.87	0	0.000108983227	1375
5.613e-05	0.01025	284.1875	1	100000	0.5	-2.87	0	0.000108984157	1375
5.618e-05	0.0102625	284.1875	1	100000	0.5	-2.87	0	0.000108987594	1375
5.632e-05	0.010275	284.1875	1	100000	0.5	-2.87	0	0.000108985544	1375
5.675e-05	0.0102875	284.1875	1	100000	0.5	-2.87	0	0.000108986835	1375
5.78e-05	0.0103	284.1875	1	100000	0.5	-2.87	0	0.000108986428	1375
5.945e-05	0.0103125	284.1875	1	100000	0.5	-2.87	0	0.000108988079	1375

