# U_ac_out	U_osc_ref	Pha_ref	U_osc_dut	R_ref	V_DS	V_GS	V_DUT	I_D	FRQ
0.0002315	0.0050625	284.6875	1	100000	0.5	-2.87	0	0.000108990907	1380
0.0002325	0.0051875	284.6875	1	100000	0.5	-2.87	0	0.000108988844	1380
0.0002324	0.0053125	284.6875	1	100000	0.5	-2.87	0	0.000108988824	1380
0.000232	0.0054375	284.6875	1	100000	0.5	-2.87	0	0.00010898283	1380
0.0002304	0.0055625	284.6875	1	100000	0.5	-2.87	0	0.000108988376	1380
0.0002271	0.0056875	284.6875	1	100000	0.5	-2.87	0	0.000108987228	1380
0.0002221	0.0058125	284.6875	1	100000	0.5	-2.87	0	0.000108990404	1380
0.0002155	0.0059375	284.6875	1	100000	0.5	-2.87	0	0.00010898785	1380
0.0002087	0.0060625	284.6875	1	100000	0.5	-2.87	0	0.000108993785	1380
0.0002017	0.0061875	284.6875	1	100000	0.5	-2.87	0	0.000108988631	1380
0.0001947	0.0063125	284.6875	1	100000	0.5	-2.87	0	0.000108992324	1380
0.0001877	0.0064375	284.6875	1	100000	0.5	-2.87	0	0.00010899076	1380
0.0001807	0.0065625	284.6875	1	100000	0.5	-2.87	0	0.000108996792	1380
0.0001735	0.0066875	284.6875	1	100000	0.5	-2.87	0	0.000108997577	1380
0.0001666	0.0068125	284.6875	1	100000	0.5	-2.87	0	0.000108993831	1380
0.0001597	0.0069375	284.6875	1	100000	0.5	-2.87	0	0.000108992692	1380
0.000153	0.0070625	284.6875	1	100000	0.5	-2.87	0	0.000108994325	1380
0.0001463	0.0071875	284.6875	1	100000	0.5	-2.87	0	0.000109000501	1380
0.0001395	0.0073125	284.6875	1	100000	0.5	-2.87	0	0.000108999085	1380
0.0001326	0.0074375	284.6875	1	100000	0.5	-2.87	0	0.000108995144	1380
0.0001256	0.0075625	284.6875	1	100000	0.5	-2.87	0	0.000109002252	1380
0.0001185	0.0076875	284.6875	1	100000	0.5	-2.87	0	0.000109000843	1380
