# U_ac_out	U_osc_ref	Pha_ref	U_osc_dut	R_ref	V_DS	V_GS	V_DUT	I_D	FRQ
5.105e-05	0.02021875	298.95	1	100000	0.5	-2.87	0	0.000109306128	3000
5.125e-05	0.02021875	299.0125	1	100000	0.5	-2.87	0	0.000109303659	3000
5.09e-05	0.02021875	299.075	1	100000	0.5	-2.87	0	0.000109301684	3000
5.03e-05	0.02021875	299.1375	1	100000	0.5	-2.87	0	0.00010930284	3000
4.965e-05	0.02021875	299.2	1	100000	0.5	-2.87	0	0.000109293821	3000
4.905e-05	0.02021875	299.2625	1	100000	0.5	-2.87	0	0.000109294522	3000
4.805e-05	0.02021875	299.325	1	100000	0.5	-2.87	0	0.000109290244	3000
4.68e-05	0.02021875	299.3875	1	100000	0.5	-2.87	0	0.000109289132	3000
4.555e-05	0.02021875	299.45	1	100000	0.5	-2.87	0	0.000109290865	3000
4.435e-05	0.02021875	299.5125	1	100000	0.5	-2.87	0	0.000109292677	3000
4.315e-05	0.02021875	299.575	1	100000	0.5	-2.87	0	0.000109289032	3000
4.225e-05	0.02021875	299.6375	1	100000	0.5	-2.87	0	0.000109291253	3000
4.14e-05	0.02021875	299.7	1	100000	0.5	-2.87	0	0.000109290308	3000
4.03e-05	0.02021875	299.7625	1	100000	0.5	-2.87	0	0.000109294482	3000
3.91e-05	0.02021875	299.825	1	100000	0.5	-2.87	0	0.000109299766	3000
3.8e-05	0.02021875	299.8875	1	100000	0.5	-2.87	0	0.000109303473	3000
3.665e-05	0.02021875	299.95	1	100000	0.5	-2.87	0	0.00010930372	3000
3.52e-05	0.02021875	300.0125	1	100000	0.5	-2.87	0	0.000109304388	3000
3.41e-05	0.02021875	300.075	1	100000	0.5	-2.87	0	0.000109305656	3000
3.3e-05	0.02021875	300.1375	1	100000	0.5	-2.87	0	0.000109303356	3000
3.21e-05	0.02021875	300.2	1	100000	0.5	-2.87	0	0.000109298947	3000
3.12e-05	0.02021875	300.2625	1	100000	0.5	-2.87	0	0.000109293078	3000
3.02e-05	0.02021875	300.325	1	100000	0.5	-2.87	0	0.000109295829	3000
2.925e-05	0.02021875	300.3875	1	100000	0.5	-2.87	0	0.000109303358	3000
2.835e-05	0.02021875	300.45	1	100000	0.5	-2.87	0	0.000109302061	3000
2.72e-05	0.02021875	300.5125	1	100000	0.5	-2.87	0	0.000109298485	3000
2.61e-05	0.02021875	300.575	1	100000	0.5	-2.87	0	0.000109287749	3000
2.505e-05	0.02021875	300.6375	1	100000	0.5	-2.87	0	0.000109287208	3000
2.4e-05	0.02021875	300.7	1	100000	0.5	-2.87	0	0.000109285912	3000
2.295e-05	0.02021875	300.7625	1	100000	0.5	-2.87	0	0.000109287852	3000
2.195e-05	0.02021875	300.825	1	100000	0.5	-2.87	0	0.000109291695	3000
2.085e-05	0.02021875	300.8875	1	100000	0.5	-2.87	0	0.000109292245	3000
1.98e-05	0.02021875	300.95	1	100000	0.5	-2.87	0	0.000109296376	3000
1.9e-05	0.02021875	301.0125	1	100000	0.5	-2.87	0	0.000109294182	3000
1.85e-05	0.02021875	301.075	1	100000	0.5	-2.87	0	0.000109295879	3000
