# pulsewidth	time	voltage
2e-05	-0.0001577799094	0.5286122512
2e-05	-0.0001577399094	0.5248717004
2e-05	-0.0001576999094	0.5204710524
2e-05	-0.0001576599094	0.5203924694
2e-05	-0.0001576199094	0.5264276438
2e-05	-0.0001575799094	0.518915109
2e-05	-0.0001575399094	0.5175949146
2e-05	-0.0001574999094	0.510978226
2e-05	-0.0001574599094	0.5266633928
2e-05	-0.0001574199094	0.515457457
2e-05	-0.0001573799094	0.5387651748
2e-05	-0.0001573399094	0.5211782994
2e-05	-0.0001572999094	0.5379164784
2e-05	-0.0001572599094	0.5217598136
2e-05	-0.0001572199094	0.5288480002
2e-05	-0.0001571799094	0.5273549232
2e-05	-0.0001571399094	0.5255632308
2e-05	-0.0001570999094	0.52732349
2e-05	-0.0001570599094	0.5119840884
2e-05	-0.0001570199094	0.5187265098
2e-05	-0.0001569799094	0.5242901862
2e-05	-0.0001569399094	0.5279050042
2e-05	-0.0001568999094	0.527244907
2e-05	-0.0001568599094	0.5134614488
2e-05	-0.0001568199094	0.5305139598
2e-05	-0.0001567799094	0.5291151824
2e-05	-0.0001567399094	0.5177835138
2e-05	-0.0001566999094	0.5263176276
2e-05	-0.0001566599094	0.5147030602
2e-05	-0.0001566199094	0.5280936034
2e-05	-0.0001565799094	0.5166519186
2e-05	-0.0001565399094	0.5287694172
2e-05	-0.0001564999094	0.5123298536
2e-05	-0.0001564599094	0.526459077
2e-05	-0.0001564199094	0.5287694172
2e-05	-0.0001563799094	0.5268991418
2e-05	-0.0001563399094	0.5149388092
2e-05	-0.0001562999094	0.527009158
2e-05	-0.0001562599094	0.5325728344
2e-05	-0.0001562199094	0.5282193362
2e-05	-0.0001561799094	0.5275906722
2e-05	-0.0001561399094	0.51946519
2e-05	-0.0001560999094	0.5256418138
2e-05	-0.0001560599094	0.5198423884
2e-05	-0.0001560199094	0.510506728
2e-05	-0.0001559799094	0.510585311
2e-05	-0.0001559399094	0.5165419024
2e-05	-0.0001558999094	0.5216812306
2e-05	-0.0001558599094	0.5194966232
2e-05	-0.0001558199094	0.5239287044
2e-05	-0.0001557799094	0.522922842
2e-05	-0.0001557399094	0.510192396
2e-05	-0.0001556999094	0.514907376
2e-05	-0.0001556599094	0.5263176276
2e-05	-0.0001556199094	0.5100037968
2e-05	-0.0001555799094	0.527716405
2e-05	-0.0001555399094	0.527952154
2e-05	-0.0001554999094	0.5199681212
2e-05	-0.0001554599094	0.5291466156
2e-05	-0.0001554199094	0.5282507694
2e-05	-0.0001553799094	0.5252174656
2e-05	-0.0001553399094	0.5213668986
2e-05	-0.0001552999094	0.523080008
2e-05	-0.0001552599094	0.5121412544
2e-05	-0.0001552199094	0.5214454816
2e-05	-0.0001551799094	0.5219955626
2e-05	-0.0001551399094	0.518050696
2e-05	-0.0001550999094	0.5216340808
2e-05	-0.0001550599094	0.5252646154
2e-05	-0.0001550199094	0.5198109552
2e-05	-0.0001549799094	0.5205810686
2e-05	-0.0001549399094	0.514593044
2e-05	-0.0001548999094	0.5295080974
2e-05	-0.0001548599094	0.526773409
2e-05	-0.0001548199094	0.527559239
2e-05	-0.0001547799094	0.519229441
2e-05	-0.0001547399094	0.5204710524
2e-05	-0.0001546999094	0.5257203968
2e-05	-0.0001546599094	0.522687093
2e-05	-0.0001546199094	0.5170448336
2e-05	-0.0001545799094	0.5155989064
2e-05	-0.0001545399094	0.5216026476
2e-05	-0.0001544999094	0.5145616108
2e-05	-0.0001544599094	0.5282193362
2e-05	-0.0001544199094	0.5282507694
2e-05	-0.0001543799094	0.5275120892
2e-05	-0.0001543399094	0.5198895382
2e-05	-0.0001542999094	0.5254532146
2e-05	-0.0001542599094	0.5154103072
2e-05	-0.0001542199094	0.5255632308
2e-05	-0.0001541799094	0.5235043562
2e-05	-0.0001541399094	0.5124084366
2e-05	-0.0001540999094	0.5129270844
2e-05	-0.0001540599094	0.5228914088
2e-05	-0.0001540199094	0.5276692552
2e-05	-0.0001539799094	0.5244002024
2e-05	-0.0001539399094	0.5232686072
2e-05	-0.0001538999094	0.5252174656
2e-05	-0.0001538599094	0.5170448336
2e-05	-0.0001538199094	0.5217126638
2e-05	-0.0001537799094	0.526459077
2e-05	-0.0001537399094	0.5062946792
2e-05	-0.0001536999094	0.5241330202
2e-05	-0.0001536599094	0.5155989064
2e-05	-0.0001536199094	0.5267419758
2e-05	-0.0001535799094	0.5279050042
2e-05	-0.0001535399094	0.5203138864
2e-05	-0.0001534999094	0.527637822
2e-05	-0.0001534599094	0.5212883156
2e-05	-0.0001534199094	0.5303567938
2e-05	-0.0001533799094	0.5291466156
2e-05	-0.0001533399094	0.5279835872
2e-05	-0.0001532999094	0.522844259
2e-05	-0.0001532599094	0.5205496354
2e-05	-0.0001532199094	0.5270563078
2e-05	-0.0001531799094	0.5142472788
2e-05	-0.0001531399094	0.523237174
2e-05	-0.0001530999094	0.5242116032
2e-05	-0.0001530599094	0.5218383966
2e-05	-0.0001530199094	0.5228128258
2e-05	-0.0001529799094	0.52732349
2e-05	-0.0001529399094	0.5289580164
2e-05	-0.0001528999094	0.5219955626
2e-05	-0.0001528599094	0.5221055788
2e-05	-0.0001528199094	0.5280621702
2e-05	-0.0001527799094	0.5254217814
2e-05	-0.0001527399094	0.509642315
2e-05	-0.0001526999094	0.526694826
2e-05	-0.0001526599094	0.5205182022
2e-05	-0.0001526199094	0.5192608742
2e-05	-0.0001525799094	0.5272763402
2e-05	-0.0001525399094	0.5231900242
2e-05	-0.0001524999094	0.5219169796
2e-05	-0.0001524599094	0.5230485748
