# pulsewidth	time	voltage
0.0001	-0.0001524249144	0.5254217814
0.0001	-0.0001523849144	0.5225770768
0.0001	-0.0001523449144	0.5147816432
0.0001	-0.0001523049144	0.5255003644
0.0001	-0.0001522649144	0.523315757
0.0001	-0.0001522249144	0.5212883156
0.0001	-0.0001521849144	0.5214769148
0.0001	-0.0001521449144	0.519386607
0.0001	-0.0001521049144	0.5147030602
0.0001	-0.0001520649144	0.5155203234
0.0001	-0.0001520249144	0.5208954006
0.0001	-0.0001519849144	0.5212568824
0.0001	-0.0001519449144	0.5170919834
0.0001	-0.0001519049144	0.5173905988
0.0001	-0.0001518649144	0.5213983318
0.0001	-0.0001518249144	0.5222627448
0.0001	-0.0001517849144	0.5197323722
0.0001	-0.0001517449144	0.5231900242
0.0001	-0.0001517049144	0.5274335062
0.0001	-0.0001516649144	0.5130685338
0.0001	-0.0001516249144	0.5191037082
0.0001	-0.0001515849144	0.5217598136
0.0001	-0.0001515449144	0.5342859438
0.0001	-0.0001515049144	0.510428145
0.0001	-0.0001514649144	0.5117483394
0.0001	-0.0001514249144	0.52732349
0.0001	-0.0001513849144	0.5206596516
0.0001	-0.0001513449144	0.5133514326
0.0001	-0.0001513049144	0.5137757808
0.0001	-0.0001512649144	0.5220269958
0.0001	-0.0001512249144	0.5289265832
0.0001	-0.0001511849144	0.5289894496
0.0001	-0.0001511449144	0.5283765022
0.0001	-0.0001511049144	0.5215240646
0.0001	-0.0001510649144	0.5288480002
0.0001	-0.0001510249144	0.5228128258
0.0001	-0.0001509849144	0.527166324
0.0001	-0.0001509449144	0.5163533032
0.0001	-0.0001509049144	0.527559239
0.0001	-0.0001508649144	0.5118269224
0.0001	-0.0001508249144	0.5210997164
0.0001	-0.0001507849144	0.5286436844
0.0001	-0.0001507449144	0.527244907
0.0001	-0.0001507049144	0.5250602996
0.0001	-0.0001506649144	0.5287694172
0.0001	-0.0001506249144	0.5128799346
0.0001	-0.0001505849144	0.5249031336
0.0001	-0.0001505449144	0.5291466156
0.0001	-0.0001505049144	0.5219169796
0.0001	-0.0001504649144	0.5119055054
0.0001	-0.0001504249144	0.5256103806
0.0001	-0.0001503849144	0.5202353034
0.0001	-0.0001503449144	0.519543773
0.0001	-0.0001503049144	0.5263962106
0.0001	-0.0001502649144	0.510742477
0.0001	-0.0001502249144	0.527637822
0.0001	-0.0001501849144	0.5145616108
0.0001	-0.0001501449144	0.5145616108
0.0001	-0.0001501049144	0.5261133118
0.0001	-0.0001500649144	0.514121546
0.0001	-0.0001500249144	0.5204710524
0.0001	-0.0001499849144	0.5156460562
0.0001	-0.0001499449144	0.527402073
0.0001	-0.0001499049144	0.5255003644
0.0001	-0.0001498649144	0.5203924694
0.0001	-0.0001498249144	0.5338615956
0.0001	-0.0001497849144	0.5369420492
0.0001	-0.0001497449144	0.5199209714
0.0001	-0.0001497049144	0.5287222674
0.0001	-0.0001496649144	0.5280936034
0.0001	-0.0001496249144	0.510428145
0.0001	-0.0001495849144	0.5203138864
0.0001	-0.0001495449144	0.5115911734
0.0001	-0.0001495049144	0.5282507694
0.0001	-0.0001494649144	0.5107739102
0.0001	-0.0001494249144	0.5113554244
0.0001	-0.0001493849144	0.5259247126
0.0001	-0.0001493449144	0.523551506
0.0001	-0.0001493049144	0.52732349
0.0001	-0.0001492649144	0.5154103072
0.0001	-0.0001492249144	0.5209425504
0.0001	-0.0001491849144	0.5199681212
0.0001	-0.0001491449144	0.511135392
0.0001	-0.0001491049144	0.518993692
0.0001	-0.0001490649144	0.5279050042
0.0001	-0.0001490249144	0.522765676
0.0001	-0.0001489849144	0.526459077
0.0001	-0.0001489449144	0.5208168176
0.0001	-0.0001489049144	0.518443611
0.0001	-0.0001488649144	0.5210997164
0.0001	-0.0001488249144	0.523708672
0.0001	-0.0001487849144	0.5211782994
0.0001	-0.0001487449144	0.5209739836
0.0001	-0.0001487049144	0.5136186148
0.0001	-0.0001486649144	0.5304825266
0.0001	-0.0001486249144	0.5154888902
0.0001	-0.0001485849144	0.527480656
0.0001	-0.0001485449144	0.5335944134
0.0001	-0.0001485049144	0.5265062268
0.0001	-0.0001484649144	0.5173591656
0.0001	-0.0001484249144	0.5148602262
0.0001	-0.0001483849144	0.5247145344
0.0001	-0.0001483449144	0.5195752062
0.0001	-0.0001483049144	0.5213983318
0.0001	-0.0001482649144	0.52653766
0.0001	-0.0001482249144	0.5126441856
0.0001	-0.0001481849144	0.5231900242
0.0001	-0.0001481449144	0.5201567204
0.0001	-0.0001481049144	0.5179092466
0.0001	-0.0001480649144	0.5262390446
0.0001	-0.0001480249144	0.522922842
0.0001	-0.0001479849144	0.5099252138
0.0001	-0.0001479449144	0.526616243
0.0001	-0.0001479049144	0.5100037968
0.0001	-0.0001478649144	0.527087741
0.0001	-0.0001478249144	0.5237401052
0.0001	-0.0001477849144	0.5111668252
